,At1g01030,NGA3,TOP1,Ngatha,C,MRP,R,FSM,Abnormal pistil morphology,RV,C. Ferrandiz,2009,Moderate,5.00E-61,At2g46870,,,,
,At1g01040,SUS1,DCL1; SIN1; CAF,Abnormal Suspensor,C,ESN,S,"EMB, W:FSM, W:OVP, W:SRF",Null: Embryo defective; Globular; Abnormal suspensor; Knockdown 1: Female sterile due to short integuments; Knockdown 2: Increased carpel number,MB; TD,D. Meinke,2002,Moderate,2.00E-105,At3g43920,2.3,RNA Helicase,,
,At1g01060,LHY,,Late Elongated Hypocotyl,C,MRP,T,"CDR, LIT",Short circadian rhythms; Early flowering under short days,OTH,G. Coupland,2002,Moderate,7.00E-74,At2g46830,,,,
,At1g01120,KCS1,,3-Ketoacyl-CoA Synthase Defective,C,MRP,V,"IST, WAT",Thin inflorescence stems; Sensitive to low humidity,TD,J. Jaworski,1999,High,0,At2g26640,,,,
,At1g01280,CYP703A2,,Cytochrome P450,C,MRP,R,"OVP, SRF",Reduced male fertility: Complete loss of pollen exine layer,RV,S. Bak,2007,High,6.00E-86,At5g07990,,,,
,At1g01370,CENH3,,Centromere-Specific Histone,C,ESN,S,EMB,Embryo defective,RV,Chan,2010,Unique,2.00E-20,At1g19890,6.1,Centromere-Specific Histone,,
,At1g01460,PIPK11,,Phosphatidylinositol Phosphate Kinase,C,CND,H,CHS,Pollen tube growth sensitive to latrunculin B (inhibitor of actin polymerization),RV,I. Heilmann,2011,High,7.00E-159,At4g01190,,,,Not Evaluated
,At1g01480,ACS2,,Aminocyclopropane Carboxylate Synthase,C,MRP,V,"NLS, GRS, IST",Large cotyledons; Long hypocotyl; Slow growth; Tall inflorescence stems,RV,A. Theologis,2009,High,0,At3g61510,,,,
,At1g01510,AN,,Angustifolia,C,MRP,V,"LEF, FSM","Narrow leaves; Narrow, slightly elongated floral organs; Twisted siliques",MB,H. Uchimiya,1996,Unique,3.00E-08,At1g12550,7,CtBP Protein; Putative Transcriptional Repressor,,
,At1g01550,BPS1,,Bypass,C,ESN,L,"SRL, ROT, LEF, MSL, STT, RTH, TCM, TMP",Few radially symmetric organs with very little vascular tissue and no trichomes; Short primary and lateral roots; Root hairs form close to root apex; Phenotype enhanced at low temperature,OTH,L. Sieburth,2004,High,4.00E-95,At2g46080,,,,
,At1g01690,PRD3,,Putative Recombination Initiation Defect,C,MRP,R,SRF,Reduced fertility due to defects in meiosis,TD,M. Grelon,2009,Unique,1.2,At4g36150,1,Role in Meiotic DSB Formation,,
,At1g01860,PFC1,,Paleface,C,CND,P,TMP,Chlorosis at low temperature,TD,J. Browse,1998,Unique,1.00E-22,At5g66360,2.3,16S rRNA Methylase; Pre-rRNA Modification,,
,At1g01950,ARK2,,Armadillo Repeat Kinesin,C,MRP,V,ROT,Twisted root growth,MB,G. Wasteneys,2008,High,0,At1g12430,,,,
,At1g02050,LAP6,PKSA,Less Adhesive Pollen,C,MRP,R,OVP,Abnormal pollen exine layer,RV,C. Douglas,2010,High,4.00E-149,At4g00040,,,,Not Evaluated
,At1g02065,SPL8,,Squamosa Promoter Binding Protein-Like,C,MRP,R,SRF,Reduced fertility,TN; RV,P. Huijser,2003,Moderate,5.00E-31,At1g20980,,,,Not Evaluated
,At1g02090,FUS5,COP15,Fusca,C,MRP,V,"PIG, LIT",Red cotyledons due to anthocyanin accumulation; Abnormal growth in the dark,OTH,D. Chamovitz,1999,Unique,0.001,At3g02200,5,Component of COP9 Signalosome; Light-Regulated Signal Transduction and Protein Degradation,,
,At1g02120,VAD1,,Vascular-Associated Death,C,MRP,V,"MSL, PTH",Chlorotic leaves; Resistant to bacterial infection,TD,D. Roby,2004,Unique,7.00E-16,At3g59660,13,Uncertain; Putative Lipid or Protein Binding Signaling Protein,,
,At1g02140,HAP1,MAGO; MEE63,Hapless,C,ESN,G,GAM,Male gametophyte defective; Rare embryo defective (inferred),TD,D. Preuss,2004,Unique,0.14,At1g05830,2.3,Component of Exon Junction Complex,,
,At1g02205,CER1,,Eceriferum,C,MRP,V,"IST, FSM, WAT",Glossy inflorescence stems and siliques; Male sterile in low humidity,TN,A. Pereira,1995,High,0,At1g02190,,,,
,At1g02280,PPI1,TOC33,Plastid Protein Import,C,MRP,V,PIG,Pale green,TD,J. Chory,1998,High,1.00E-97,At5g05000,4.2,Chloroplast Protein Import,,CPT  (3)
,At1g02340,HFR1,REP1; RSF1,Long Hypocotyl in Far-Red Light,C,CND,P,LIT,Long hypocotyl under far-red light,TD,P. Quail,2000,Unique,1.00E-15,At1g09530,7,bHLH Transcription Factor,,
,At1g02560,CLPP5,NCLPP1; NCLPP5,Clp Protease,C,ESN,S,EMB,Embryo defective; Globular,RV,K. van Wijk,2009,Moderate,7.00E-53,At1g66670,5,Chloroplast Clp Protease Subunit,,CPT  (4)
,At1g02580,MEA,EMB173; FIS1,Medea,C,ESN,S,MSD,Embryo and female gametophyte defective; Incomplete penetrance of endosperm formation without fertilization; 50% defective seeds,TN,R. Fischer,1998,Moderate,3.00E-109,At4g02020,6.1,SET Domain Polycomb Protein; Chromatin Structure Modulation,,
,At1g02730,ATCSLD5,SOS6,Cellulose Synthase Like,C,MRP,V,"GRS, ROT, LEF",Dwarf; Small rosette; Short roots,RV,W. Willats,2007,High,0,At3g03050,,,,
,At1g02780,EMB2386,,Embryo Defective,NC,ESN,S,EMB,Embryo defective; Globular,TD,D. Meinke,2002,High,1.00E-90,At4g02230,3.1,Cytosolic Ribosomal Protein L19,,
,At1g02860,NLA,BAH1,Nitrogen Limitation Adaptation,C,CND,H,NUT,Early senescence under limited nitrogen,MB,S. Rothstein,2007,Moderate,3.00E-65,At2g38920,,,,
,At1g02910,LPA1,,Low PSII Accumulation,C,MRP,V,"PIG, GRS",Pale green leaves; Dwarf,TD,L. Zhang,2006,Unique,1.00E-20,At4g28740,4.1,Chloroplast Integral Membrane Chaperone,,CPT  (4)
,At1g02970,WEE1,,Arabidopsis wee1 Kinase Homolog,C,CND,H,CHS,Sensitive to replication-inhibiting drugs,RV,L. De Veylder,2007,Unique,3.00E-22,At1g76040,8,WEE1 Kinase; Cell Cycle Inhibition Signaling,,
,At1g03000,PEX6,,Peroxin,C,MRP,V,"PIG, GRS, HRM",Dwarf; Pale green; Insensitive to IBA,MB,B. Bartel,2004,Moderate,3.00E-77,At5g03340,,,,
,At1g03060,SPI,,Spirrig,C,MRP,V,"NLS, STT, RTH, TCM",Short hypocotyl; Short root hairs; Abnormal trichome and pavement cell morphology,MB,M. Hulskamp,2009,High,0,At4g02660,,,,
,At1g03160,FZL,,FZO-Like,C,MRP,V,"PIG, FLT",Pale green leaves; Late flowering,RV,K. Osteryoung,2006,Unique,0.014,At3g20290,12,Dynamin-Like GTPase; Regulation of Thylakoid Organization,,CPT  (4)
,At1g03190,UVH6,AtXPD,Ultraviolet Hypersensitive ,C,ESN,L,"NHM, W:PIG, W:GRS, W:LIT",Null: No homozygous mutant plants recovered; Knockdown: Pale green leaves; Dwarf; Sensitive to UV light,MB,J. Hall,2003,Moderate,3.00E-44,At1g20720,1,Nucleotide Excision Repair,,
,At1g03310,AtISA2,DBE1,Isoamylase ,C,CLB,B,PRA,Decreased starch levels,MB,S. Zeeman,2006,High,4.00E-98,At4g09020,10.4,Multimeric Isoamylase Complex; Polysaccharide Biosynthesis,,CPT  (4)
,At1g03360,RRP4,,Ribosomal RNA Processing,C,ESN,S,EMB,Embryo defective; Preglobular,TD,D. Belostotsky,2008,Unique,1.8,At1g49430,2.3,rRNA Processing; Exonuclease,MIT  (4),
,At1g03790,SOM,,Somnus,C,CND,P,LIT,Germination insensitive to darkness and far-red light,TD,G. Choi,2008,Moderate,3.00E-62,At5g44260,,,,
,At1g04010,PSAT1,,Phospholipid Sterol Acyl Transferase,C,MRP,T,SEN,Early leaf senescence; Low sterol ester content in leaves and seeds,RV,H. Schaller,2009,Unique,6.00E-14,At5g13640,10.5,Sterol Ester Biosynthesis; Free Sterol Homeostasis,,
,At1g04020,BARD1,,BRCA1-Associated Ring Domain,C,MRP,V,"GRS, MSL, TCM","Disorganized seedling and rosette growth; Dwarf; Tubular, finger-like structures form instead of leaves; Abnormal SAM organization",RV,Y. Zhu,2008,Moderate,8.00E-81,At4g21070,,,,
,At1g04110,SDD1,,"Stomatal Density, Distribution",C,CLB,C,STT,Increased stomatal density,MB,T. Altmann,2000,High,0,At2g05920,,,,
,At1g04120,MRP5,ABCC5,Multidrug Resistance-Associated Protein,NC,MRP,V,ROT,Short roots; Increased lateral root formation,RV,E. Martinoia,2001,High,0,At3g13080,,,,
,At1g04220,KCS2,DAISY,3-Ketoacyl-CoA Synthase,C,MRP,V,ROT,Short roots,RV,L. Schreiber,2008,High,0,At5g43760,,,,
,At1g04240,SHY2,IAA3,Short Hypocotyl,C,MRP,V,ROT,Complete loss of root gravitropism,TD,J. Reed,1999,Moderate,1.00E-77,At5g43700,,,,
,At1g04250,AXR3,IAA17,Auxin Resistant,C,MRP,V,ROT,Complete loss of root gravitropism,MB,O. Leyser,1998,Moderate,7.00E-76,At4g14550,,,,
,At1g04400,FHA,CRY2,Late Flowering,C,MRP,T,FLT,Late flowering,OTH,A. Cashmore,1998,High,1.00E-180,At4g08920,,,,
,At1g04635,EMB1687,,Embryo Defective,C,ESN,S,EMB,Embryo defective; Globular,TD,D. Meinke,2002,Unique,2,At1g14670,2.3,Ribonuclease P Family (POP5); tRNA Processing,,
,At1g04820,TOR2,TUA4,Tortifolia,C,MRP,V,"NLS, LEF, ARC, CHS","Short, thick hypocotyl; Helical growth; Right-handed petiole torsions; Sensitive to microtubule-disrupting drugs",MB; RV,A. Schaffner,2009,High,0,At1g50010,,,,
,At1g04870,AtPRMT10,,Protein Arginine Methyltransferase,C,MRP,T,FLT,Late flowering,RV,X. Cao,2007,Moderate,5.00E-60,At3g20020,,,,
,At1g04940,TIC20,,Translocon Inner Envelope Membrane of Chloroplasts,C,ESN,L,"SRL, W:PIG",Null: Seedling lethal; Knockdown: Pale cotyledons; Pale leaves,RNAi,D. Schnell,2002,High,6.00E-142,At1g04945,4.2,Chloroplast Protein Import,,CPT  (1)
,At1g04950,EMB2781,TAF6; TAFII59,Embryo Defective,C,ESN,G,GEM,Male gametophyte defective; Embryo defective,RV, M. Kater,2005,High,5.00E-120,At1g54360,7,TATA Box Binding Protein; Transcriptional Regulation,,
,At1g05180,AXR1,,Auxin Resistant,C,MRP,V,"GRS, ROT, ARC, SRF, RTH, HRM","Dwarf; Increased branching; Abnormal root gravitropism, lateral root formation, and root hair growth; Reduced fertility; Insensitive to auxin",MB,M. Estelle,1993,High,0,At2g32410,,,,
,At1g05190,EMB2394,,Embryo Defective,C,ESN,S,EMB,Embryo defective; Globular,TD,D. Meinke,2003,Unique,3.00E-19,At2g18400,3.1,Chloroplast 50S Ribosomal Protein L6,,CPT  (4)
,At1g05385,LPA19,,Low Photosystem II Accumulation,C,MRP,V,"PIG, GRS",Dwarf; Pale green leaves,MB; RV,L. Zhang,2010,Unique,1.00E-05,At1g03600,4.1,PSII Biogenesis and Assembly,,Not Evaluated
